Literature_PID;Dataset_PID;DataCite_RelationType_of_Dataset_PID_record;Scholix_link_available
10.1007/bf01560337;10.17182/hepdata.14424.v1/t7;IsSupplementTo;False
10.1021/acs.inorgchem.2c01472;10.5517/ccdc.csd.cc2bpltg;IsSupplementTo;False
10.1103/physrevlett.113.262301;10.17182/hepdata.66548.v1/t2;IsSupplementTo;False
10.1140/epjc/s10052-014-3223-6;10.17182/hepdata.64353.v1/t11;IsSupplementTo;False
10.1140/epjc/s10052-014-3223-6;10.17182/hepdata.64353.v1/t16;IsSupplementTo;False
10.1016/0550-3213(96)00274-x;10.17182/hepdata.44896.v1/t5;IsSupplementTo;False
10.1021/acs.inorgchem.1c00594;10.5517/ccdc.csd.cc279yq7;IsSupplementTo;False
10.1140/epjc/s10052-012-2215-7;10.17182/hepdata.60276;IsSupplementTo;False
10.1016/0370-2693(96)00467-4;10.17182/hepdata.47587.v1/t1;IsSupplementTo;False
10.1140/epjc/s2003-01257-6;10.17182/hepdata.11903.v1/t21;IsSupplementTo;False
10.1140/epjc/s10052-008-0598-2;10.17182/hepdata.63789.v1/t10;IsSupplementTo;False
10.1103/physrevd.87.012008;10.17182/hepdata.59904;IsSupplementTo;False
10.1140/epjc/s10052-010-1448-6;10.17182/hepdata.61487.v1/t14;IsSupplementTo;False
10.1140/epjc/s10052-010-1448-6;10.17182/hepdata.61487.v1/t2;IsSupplementTo;False
10.1140/epjc/s10052-015-3609-0;10.17182/hepdata.68640.v1/t55;IsSupplementTo;False
10.1140/epjc/s10052-015-3609-0;10.17182/hepdata.68640.v1/t69;IsSupplementTo;False
10.1103/physrevd.90.112006;10.17182/hepdata.64385.v2/t7;IsSupplementTo;False
10.1140/epjc/s10052-006-0046-0;10.17182/hepdata.45891.v1/t10;IsSupplementTo;False
10.1007/jhep05(2013)097;10.17182/hepdata.62363.v1/t16;IsSupplementTo;False
10.1140/epjc/s10052-007-0237-3;10.17182/hepdata.43089.v1/t13;IsSupplementTo;False
10.1140/epjc/s10052-016-4105-x;10.17182/hepdata.70880.v1/t72;IsSupplementTo;False
10.1140/epjc/s10052-016-4105-x;10.17182/hepdata.70880.v1/t9;IsSupplementTo;False
10.1016/j.marmicro.2011.11.006;10.1594/pangaea.807216;IsSupplementTo;False
10.1186/s13014-020-01620-5;10.6084/m9.figshare.12736940;IsSupplementTo;False
10.1140/epjc/s2004-01595-9;10.17182/hepdata.43174.v1/t18;IsSupplementTo;False
10.1140/epjc/s2004-01595-9;10.17182/hepdata.43174.v1/t5;IsSupplementTo;False
10.1002/asia.201801564;10.5517/ccdc.csd.cc210pb3;IsSupplementTo;False
10.1007/jhep05(2012)128;10.17182/hepdata.58739.v1/t18;IsSupplementTo;False
10.1016/0370-2693(69)90441-9;10.17182/hepdata.45282.v1/t1;IsSupplementTo;False
10.1021/ic1013768;10.5517/ccv4pyl;IsSupplementTo;False
10.1007/bf01556128;10.17182/hepdata.45104;IsSupplementTo;False
10.1021/cm1008587;10.5517/ccvhxcl;IsSupplementTo;False
10.1103/physrevd.86.072004;10.17182/hepdata.58995.v1/t100;IsSupplementTo;False
10.1103/physrevd.86.072004;10.17182/hepdata.58995.v1/t86;IsSupplementTo;False
