Dataset_PID;Literature_PID;DataCite_RelationType_of_Dataset_PID_record;links_in_scholix;url_to_scholix
10.17182/hepdata.73802.v1;10.1103/physrevlett.116.042001;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.73802.v1&targetPid=10.1103/physrevlett.116.042001&relation=IsSupplementTo
10.17182/hepdata.29992.v1/t12;10.1016/0370-2693(88)91161-6;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.29992.v1/t12&targetPid=10.1016/0370-2693(88)91161-6&relation=IsSupplementTo
10.17182/hepdata.29992.v1/t9;10.1016/0370-2693(88)91161-6;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.29992.v1/t9&targetPid=10.1016/0370-2693(88)91161-6&relation=IsSupplementTo
10.17182/hepdata.66872.v1/t4;10.1103/physrevc.91.034906;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.66872.v1/t4&targetPid=10.1103/physrevc.91.034906&relation=IsSupplementTo
10.5517/ccdc.csd.cc211s1y;10.1002/chem.201900348;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc211s1y&targetPid=10.1002/chem.201900348&relation=IsSupplementTo
10.5517/ccp9s2t;10.1021/ic700464d;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccp9s2t&targetPid=10.1021/ic700464d&relation=IsSupplementTo
10.17182/hepdata.53810.v1/t11;10.1103/physrevc.80.035208;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.53810.v1/t11&targetPid=10.1103/physrevc.80.035208&relation=IsSupplementTo
10.17182/hepdata.53810.v1/t40;10.1103/physrevc.80.035208;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.53810.v1/t40&targetPid=10.1103/physrevc.80.035208&relation=IsSupplementTo
10.5517/cc874n8;10.1002/ejic.200400640;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/cc874n8&targetPid=10.1002/ejic.200400640&relation=IsSupplementTo
10.5517/ccdc.csd.cc21kzh3;10.1039/c9dt00399a;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc21kzh3&targetPid=10.1039/c9dt00399a&relation=IsSupplementTo
10.1594/pangaea.889922;10.1029/2018jc014300;IsSupplementTo;1;/v3/Links?sourcePid=10.1594/pangaea.889922&targetPid=10.1029/2018jc014300&relation=IsSupplementTo
10.6084/m9.figshare.c.5022611.v1;10.1186/s12989-020-00355-1;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.5022611.v1&targetPid=10.1186/s12989-020-00355-1&relation=IsSupplementTo
10.17182/hepdata.50415.v1/t19;10.1016/j.astropartphys.2008.02.002;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.50415.v1/t19&targetPid=10.1016/j.astropartphys.2008.02.002&relation=IsSupplementTo
10.17182/hepdata.50415.v1/t4;10.1016/j.astropartphys.2008.02.002;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.50415.v1/t4&targetPid=10.1016/j.astropartphys.2008.02.002&relation=IsSupplementTo
10.5517/ccs31vr;10.1002/zaac.200900077;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccs31vr&targetPid=10.1002/zaac.200900077&relation=IsSupplementTo
10.5517/ccrmqjl;10.1002/chem.200802060;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccrmqjl&targetPid=10.1002/chem.200802060&relation=IsSupplementTo
10.5517/ccs34hh;10.1039/b901711a;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccs34hh&targetPid=10.1039/b901711a&relation=IsSupplementTo
10.5517/ccdc.csd.cc1ztjfr;10.1002/anie.201805348;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc1ztjfr&targetPid=10.1002/anie.201805348&relation=IsSupplementTo
10.5517/ccdc.csd.cc1lcwf8;10.1021/acs.inorgchem.5b02234;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc1lcwf8&targetPid=10.1021/acs.inorgchem.5b02234&relation=IsSupplementTo
10.17182/hepdata.56262.v1/t15;10.1103/physrevd.82.114031;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.56262.v1/t15&targetPid=10.1103/physrevd.82.114031&relation=IsSupplementTo
10.5517/ccdc.csd.cc1mw58y;10.1021/acs.organomet.6b00523;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc1mw58y&targetPid=10.1021/acs.organomet.6b00523&relation=IsSupplementTo
10.17182/hepdata.61735.v1/t1;10.1103/physrevlett.111.042003;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.61735.v1/t1&targetPid=10.1103/physrevlett.111.042003&relation=IsSupplementTo
10.1594/pangaea.872712;10.1016/j.seares.2016.12.002;IsSupplementTo;1;/v3/Links?sourcePid=10.1594/pangaea.872712&targetPid=10.1016/j.seares.2016.12.002&relation=IsSupplementTo
10.5517/cct1ndw;10.1021/ic901747w;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/cct1ndw&targetPid=10.1021/ic901747w&relation=IsSupplementTo
10.5517/ccdc.csd.cc2j5nbq;10.1021/acs.organomet.4c00095;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc2j5nbq&targetPid=10.1021/acs.organomet.4c00095&relation=IsSupplementTo
10.17182/hepdata.50531.v1/t9;10.1016/j.astropartphys.2008.07.007;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.50531.v1/t9&targetPid=10.1016/j.astropartphys.2008.07.007&relation=IsSupplementTo
10.5517/cc9ljt6;10.1021/ic050868w;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/cc9ljt6&targetPid=10.1021/ic050868w&relation=IsSupplementTo
10.5517/ccdc.csd.cc25gxwg;10.1007/s10870-022-00939-z;IsSupplementTo;0;/v3/Links?sourcePid=10.5517/ccdc.csd.cc25gxwg&targetPid=10.1007/s10870-022-00939-z&relation=IsSupplementTo
10.5517/ccvkgjc;10.1002/hc.20679;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccvkgjc&targetPid=10.1002/hc.20679&relation=IsSupplementTo
10.5517/ccvmpbg;10.1002/ejic.201100019;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccvmpbg&targetPid=10.1002/ejic.201100019&relation=IsSupplementTo
10.5517/ccw48gq;10.1039/c2dt30175j;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccw48gq&targetPid=10.1039/c2dt30175j&relation=IsSupplementTo
10.5517/cc8ljr3;10.1016/j.molcata.2005.12.044;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/cc8ljr3&targetPid=10.1016/j.molcata.2005.12.044&relation=IsSupplementTo
10.5517/ccrq5m7;10.1039/b822235e;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccrq5m7&targetPid=10.1039/b822235e&relation=IsSupplementTo
10.5517/ccdc.csd.cc24rht7;10.1021/acs.joc.0c00780;IsSupplementTo;1;/v3/Links?sourcePid=10.5517/ccdc.csd.cc24rht7&targetPid=10.1021/acs.joc.0c00780&relation=IsSupplementTo
10.6084/m9.figshare.4541113.v1;10.1080/0284186x.2016.1276621;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.4541113.v1&targetPid=10.1080/0284186x.2016.1276621&relation=IsSupplementTo
